ward_code,Ward,Borough,Party,Designation,Life_Exp ,Child_Obesity,Incapacity_Benefit,Unemployment_rate,Crime_rate,Deliberate_Fires,GCSE_point,Unauthorised_Absence,dependent_children,Public_Transport,open_space ,Subjective_wellbeing,Rate_of_Ambulance,Median_income
E05000623,Shaftesbury,Wandsworth,Conservative,Inner,81.50,26.60,1.30,2.80,117.40,0.20,341.00,1.00,14.00,5.52,-9.70,7.50,83.00,50410.00
E05000624,Southfields,Wandsworth,Conservative,Inner,83.20,17.30,0.80,2.60,81.60,0.20,367.00,0.68,11.00,3.71,-4.30,8.00,86.40,48160.00
E05000625,Thamesfield,Wandsworth,Conservative,Inner,85.90,11.70,0.60,1.30,99.50,0.00,363.00,0.76,5.00,4.53,3.90,8.00,81.70,55380.00
E05000626,Tooting,Wandsworth,Labour,Inner,81.10,21.00,1.20,5.60,61.30,0.20,354.00,0.89,22.00,5.11,-0.70,7.60,120.60,36000.00
E05000627,Wandsworth Common,Wandsworth,Conservative,Inner,80.60,16.70,1.00,2.00,74.80,1.10,357.00,0.82,7.00,2.71,3.40,7.60,90.90,51420.00
E05000628,West Hill,Wandsworth,Conservative,Inner,80.00,18.40,1.10,4.60,55.00,0.20,356.00,0.95,20.00,2.81,-1.20,8.00,94.10,40360.00
E05000629,West Putney,Wandsworth,Conservative,Inner,81.20,21.80,1.70,3.80,72.60,0.20,338.00,1.25,17.00,2.70,-4.60,8.00,138.80,43280.00
E05000630,Abbey Road,Westminster,Conservative,Inner,87.90,24.00,1.00,2.30,56.70,0.20,337.00,0.83,8.00,5.36,-1.10,8.00,107.90,52200.00
E05000631,Bayswater,Westminster,Conservative,Inner,84.50,20.20,2.20,4.20,130.60,0.00,360.00,1.31,12.00,6.51,3.40,7.90,99.90,49960.00
E05000632,Bryanston and Dorset Square,Westminster,Conservative,Inner,85.90,35.70,1.20,3.60,83.70,0.10,360.00,1.22,11.00,8.00,-7.10,7.90,146.20,51370.00
E05000633,Churchill,Westminster,Conservative,Inner,82.80,26.90,3.00,6.60,134.90,0.20,336.00,1.39,33.00,4.93,4.60,8.00,161.10,39530.00
E05000634,Church Street,Westminster,Labour,Inner,81.00,26.80,4.80,12.30,70.80,0.30,346.00,1.34,40.00,6.72,0.20,8.00,186.90,26290.00
E05000635,Harrow Road,Westminster,Labour,Inner,80.10,27.30,3.40,10.50,85.40,0.00,358.00,1.14,33.00,5.72,-11.50,8.00,128.40,35000.00
E05000636,Hyde Park,Westminster,Conservative,Inner,83.30,15.80,1.40,2.90,61.50,0.00,340.00,2.12,13.00,7.98,1.00,7.90,197.30,46880.00
E05000637,Knightsbridge and Belgravia,Westminster,Conservative,Inner,90.30,24.60,0.10,0.40,61.60,0.00,401.00,0.48,1.00,6.63,12.60,8.00,123.50,88330.00
E05000638,Lancaster Gate,Westminster,Conservative,Inner,85.70,22.10,1.30,3.30,157.40,0.10,379.00,1.49,14.00,7.65,-2.20,7.90,114.20,49290.00
E05000639,Little Venice,Westminster,Conservative,Inner,82.90,22.00,2.10,3.30,93.00,0.10,343.00,1.45,19.00,5.64,0.30,8.00,123.40,48770.00
E05000640,Maida Vale,Westminster,Conservative,Inner,83.50,23.70,2.10,4.70,97.30,0.30,360.00,1.01,28.00,5.19,8.90,8.00,94.00,45660.00
E05000641,Marylebone High Street,Westminster,Conservative,Inner,84.90,24.60,0.80,1.30,64.00,0.10,365.00,1.04,12.00,7.74,-1.80,7.90,195.20,58370.00
E05000642,Queen's Park,Westminster,Labour,Inner,80.00,26.80,3.00,13.30,71.90,0.00,353.00,1.21,37.00,5.04,-11.70,8.00,125.70,32260.00
E05000643,Regent's Park,Westminster,Conservative,Inner,85.40,21.70,1.90,2.40,61.50,0.10,362.00,1.26,13.00,5.22,16.90,8.00,161.60,46510.00
E05000644,St James's,Westminster,Conservative,Inner,84.00,24.20,2.20,5.90,63.60,0.30,355.00,0.82,19.00,7.60,8.10,8.00,810.20,52520.00
E05000645,Tachbrook,Westminster,Conservative,Inner,83.80,25.70,1.90,2.70,78.00,0.20,345.00,0.95,22.00,6.56,7.70,8.00,121.10,47340.00
E05000646,Vincent Square,Westminster,Conservative,Inner,82.50,22.20,2.60,4.20,33.10,0.20,359.00,0.81,21.00,6.91,9.50,8.00,164.10,46550.00
E05000647,Warwick,Westminster,Conservative,Inner,84.30,21.20,2.10,3.90,56.70,0.10,353.00,1.18,22.00,7.22,3.40,8.00,253.50,50250.00
E05000648,Westbourne,Westminster,Labour,Inner,78.30,26.60,4.40,9.40,83.80,0.20,365.00,1.20,41.00,4.91,5.60,8.00,161.60,32390.00
E05000649,West End,Westminster,Conservative,Inner,82.90,21.20,1.90,3.10,91.30,0.40,337.00,0.85,10.00,7.98,-5.00,8.00,611.20,54970.00
